Inference for Stan model: hgrowth8_model
1 chains: each with iter=(1000); warmup=(0); thin=(1); 1000 iterations saved.

Warmup took (37) seconds, 37 seconds total
Sampling took (39) seconds, 39 seconds total

                     Mean     MCSE   StdDev        5%       50%       95%  N_Eff  N_Eff/s  R_hat
Omega[11,2,2]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[12,1,1]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[12,1,2]     5.4e-03  1.4e-02  4.5e-01  -7.3e-01  -1.6e-03   7.5e-01   1000       26   1.00
Omega[12,2,1]     5.4e-03  1.4e-02  4.5e-01  -7.3e-01  -1.6e-03   7.5e-01   1000       26   1.00
Omega[12,2,2]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[13,1,1]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[13,1,2]     3.8e-03  1.4e-02  4.5e-01  -7.2e-01   5.4e-03   7.5e-01   1000       26   1.00
Omega[13,2,1]     3.8e-03  1.4e-02  4.5e-01  -7.2e-01   5.4e-03   7.5e-01   1000       26   1.00
Omega[13,2,2]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[14,1,1]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[14,1,2]    -6.6e-03  1.5e-02  4.7e-01  -7.5e-01   1.2e-02   7.2e-01   1000       26    1.0
Omega[14,2,1]    -6.6e-03  1.5e-02  4.7e-01  -7.5e-01   1.2e-02   7.2e-01   1000       26    1.0
Omega[14,2,2]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[15,1,1]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[15,1,2]    -1.8e-02  1.4e-02  4.3e-01  -7.4e-01  -1.0e-02   7.0e-01   1000       26   1.00
Omega[15,2,1]    -1.8e-02  1.4e-02  4.3e-01  -7.4e-01  -1.0e-02   7.0e-01   1000       26   1.00
Omega[15,2,2]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[16,1,1]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[16,1,2]    -3.0e-04  1.4e-02  4.5e-01  -7.2e-01   5.3e-04   7.3e-01   1000       26   1.00
Omega[16,2,1]    -3.0e-04  1.4e-02  4.5e-01  -7.2e-01   5.3e-04   7.3e-01   1000       26   1.00
Omega[16,2,2]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[17,1,1]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[17,1,2]     2.0e-02  1.5e-02  4.6e-01  -7.4e-01   3.4e-02   7.5e-01   1000       26   1.00
Omega[17,2,1]     2.0e-02  1.5e-02  4.6e-01  -7.4e-01   3.4e-02   7.5e-01   1000       26   1.00
Omega[17,2,2]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[18,1,1]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
Omega[18,1,2]     1.1e-02  1.4e-02  4.4e-01  -7.1e-01   1.5e-02   7.4e-01   1000       26   1.00
Omega[18,2,1]     1.1e-02  1.4e-02  4.4e-01  -7.1e-01   1.5e-02   7.4e-01   1000       26   1.00
Omega[18,2,2]     1.0e+00  2.1e-17  6.7e-16   1.0e+00   1.0e+00   1.0e+00   1000       26   1.00
